array_id,superIterationCount,numberOfCells,worldSize,gridSize,wbK,kappa,homotypicInhibition,heterotypicInhibition,polarityPersistence,polarityTurningCoupling,flowScaling,flowPolarityCoupling,
150,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.5,4.0,0.2,
151,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.5,4.0,1.1,
152,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.5,4.0,2.0,
153,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.9,0.5,0.2,
154,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.9,0.5,1.1,
155,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.9,0.5,2.0,
156,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.9,2.25,0.2,
157,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.9,2.25,1.1,
158,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.9,2.25,2.0,
159,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.9,4.0,0.2,
160,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.9,4.0,1.1,
161,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.9,4.0,2.0,
162,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.1,0.5,0.2,
163,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.1,0.5,1.1,
164,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.1,0.5,2.0,
165,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.1,2.25,0.2,
166,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.1,2.25,1.1,
167,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.1,2.25,2.0,
168,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.1,4.0,0.2,
169,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.1,4.0,1.1,
170,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.1,4.0,2.0,
171,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.5,0.5,0.2,
172,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.5,0.5,1.1,
173,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.5,0.5,2.0,
174,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.5,2.25,0.2,
175,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.5,2.25,1.1,
176,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.5,2.25,2.0,
177,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.5,4.0,0.2,
178,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.5,4.0,1.1,
179,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.5,4.0,2.0,
180,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.9,0.5,0.2,
181,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.9,0.5,1.1,
182,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.9,0.5,2.0,
183,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.9,2.25,0.2,
184,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.9,2.25,1.1,
